num,t,word,value,success,error_type,test
1,0,!boue!,0.04771048098339618,True,None,1
2,0,!boue!,0.6330353937237739,True,None,1
3,0,!boue!,!bu!!~~~~~,False,None,1
4,0,!boue!,!boue!,True,None,1
5,0,!boue!,31.79719305038452,,None,1
0,0,!chien!,928,,None,1
1,0,!chien!,0.9896853463091334,True,None,1
2,0,!chien!,0.7794614937102073,True,None,1
3,0,!chien!,!Sj5!~~~~~,True,None,1
4,0,!chien!,!chien!,True,None,1
5,0,!chien!,49.537505865097046,,None,1
0,0,!prompt!,1044,,None,1
1,0,!prompt!,0.9911429792167147,True,None,1
2,0,!prompt!,0.6485345079000645,False,None,1
3,0,!prompt!,!pR&!~~~~~,True,None,1
4,0,!prompt!,!prompt!,True,None,1
5,0,!prompt!,87.74662780761719,,None,1
0,0,!crise!,1128,,None,1
1,0,!crise!,0.9806730096461971,True,None,1
2,0,!crise!,0.8667462284749146,True,None,1
3,0,!crise!,!kRiz!~~~~,True,None,1
4,0,!crise!,!crise!,True,None,1
5,0,!crise!,55.10307574272156,,None,1
0,0,!fendre!,1075,,None,1
1,0,!fendre!,0.9502313125962041,True,None,1
2,0,!fendre!,0.8113846428690275,True,None,1
3,0,!fendre!,!f@dR!~~~~,True,None,1
4,0,!fendre!,!fendre!,True,None,1
5,0,!fendre!,76.90338587760925,,None,1
0,0,!coin!,927,,None,1
1,0,!coin!,0.9750905034194736,True,None,1
2,0,!coin!,0.8017139575323452,True,None,1
3,0,!coin!,!kw5!~~~~~,True,None,1
4,0,!coin!,!coin!,True,None,1
5,0,!coin!,25.915470361709595,,None,1
0,0,!quille!,1187,,None,1
1,0,!quille!,0.9733954169793558,True,None,1
2,0,!quille!,0.7665026871515419,True,None,1
3,0,!quille!,!kij!~~~~~,True,None,1
4,0,!quille!,!quille!,True,None,1
5,0,!quille!,89.58985948562622,,None,1
0,0,!grâce!,950,,None,1
1,0,!grâce!,0.995302297194906,True,None,1
2,0,!grâce!,0.8628944109172718,True,None,1
3,0,!grâce!,!gRas!~~~~,True,None,1
4,0,!grâce!,!grâce!,True,None,1
5,0,!grâce!,41.738821506500244,,None,1
0,0,!nouer!,858,,None,1
1,0,!nouer!,0.9540123107943129,True,None,1
2,0,!nouer!,0.794827884613562,True,None,1
3,0,!nouer!,!nwe!~~~~~,True,None,1
4,0,!nouer!,!nouer!,True,None,1
5,0,!nouer!,38.986937284469604,,None,1
0,0,!puis!,978,,None,1
1,0,!puis!,0.9913229644192986,True,None,1
2,0,!puis!,0.7865744789967535,True,None,1
3,0,!puis!,!pyi!~~~~~,True,None,1
4,0,!puis!,!puis!,True,None,1
5,0,!puis!,27.09924864768982,,None,1
0,0,!timbre!,1124,,None,1
1,0,!timbre!,0.9922891099620506,True,None,1
2,0,!timbre!,0.8863685650477906,True,None,1
3,0,!timbre!,!t5bR!~~~~,True,None,1
4,0,!timbre!,!timbre!,True,None,1
5,0,!timbre!,75.37043070793152,,None,1
0,0,!sauce!,830,,None,1
1,0,!sauce!,0.9849452592421183,True,None,1
2,0,!sauce!,0.7523904270264411,True,None,1
3,0,!sauce!,!sos!~~~~~,True,None,1
4,0,!sauce!,!sauce!,True,None,1
5,0,!sauce!,39.10235929489136,,None,1
0,0,!dû!,666,,None,1
1,0,!dû!,0.9711535851033625,True,None,1
2,0,!dû!,0.6796948890150437,False,None,1
3,0,!dû!,!dy!~~~~~~,True,None,1
4,0,!dû!,!dû!,True,None,1
5,0,!dû!,8.344320058822632,,None,1
0,0,!gloire!,1328,,None,1
1,0,!gloire!,0.9942601781874377,True,None,1
2,0,!gloire!,0.9245822252899859,True,None,1
3,0,!gloire!,!glwaR!~~~,True,None,1
4,0,!gloire!,!gloire!,True,None,1
5,0,!gloire!,94.6213788986206,,None,1
0,0,!blâme!,994,,None,1
1,0,!blâme!,0.9872859506491147,True,None,1
2,0,!blâme!,0.861327609890849,True,None,1
3,0,!blâme!,!blam!~~~~,True,None,1
4,0,!blâme!,!blâme!,True,None,1
5,0,!blâme!,45.54283785820007,,None,1
0,0,!gouffre!,1085,,None,1
1,0,!gouffre!,0.9945116938726452,True,None,1
2,0,!gouffre!,0.8763942439896345,True,None,1
3,0,!gouffre!,!gufR!~~~~,True,None,1
4,0,!gouffre!,!gouffre!,True,None,1
5,0,!gouffre!,109.58892560005188,,None,1
0,0,!teinte!,1089,,None,1
1,0,!teinte!,0.9903096056689509,True,None,1
2,0,!teinte!,0.7188548498744873,True,None,1
3,0,!teinte!,!t5t!~~~~~,True,None,1
4,0,!teinte!,!teinte!,True,None,1
5,0,!teinte!,95.56339001655579,,None,1
0,0,!tir!,855,,None,1
1,0,!tir!,0.9576124804004473,True,None,1
2,0,!tir!,0.8231441495445165,True,None,1
3,0,!tir!,!tiR!~~~~~,True,None,1
4,0,!tir!,!tir!,True,None,1
5,0,!tir!,13.539772033691406,,None,1
0,0,!ivre!,866,,None,1
1,0,!ivre!,0.9936760455114739,True,None,1
2,0,!ivre!,0.846561470907771,True,None,1
3,0,!ivre!,!ivR!~~~~~,True,None,1
4,0,!ivre!,!ivre!,True,None,1
5,0,!ivre!,24.330804109573364,,None,1
0,0,!flash!,934,,None,1
1,0,!flash!,0.9931534834882376,True,None,1
2,0,!flash!,0.8806271911814795,True,None,1
3,0,!flash!,!flaS!~~~~,True,None,1
4,0,!flash!,!flash!,True,None,1
5,0,!flash!,41.520259380340576,,None,1
0,0,!vendre!,1128,,None,1
1,0,!vendre!,0.9624145409989308,True,None,1
2,0,!vendre!,0.8393899838474562,True,None,1
3,0,!vendre!,!v@dR!~~~~,True,None,1
4,0,!vendre!,!vendre!,True,None,1
5,0,!vendre!,90.62743711471558,,None,1
0,0,!rien!,786,,None,1
1,0,!rien!,0.9788704969967005,True,None,1
2,0,!rien!,0.8213474417290468,True,None,1
3,0,!rien!,!Rj5!~~~~~,True,None,1
4,0,!rien!,!rien!,True,None,1
5,0,!rien!,21.838595628738403,,None,1
0,0,!songe!,858,,None,1
1,0,!songe!,0.9852028801477951,True,None,1
2,0,!songe!,0.8107828930686721,True,None,1
3,0,!songe!,!s&Z!~~~~~,True,None,1
4,0,!songe!,!songe!,True,None,1
5,0,!songe!,38.85296368598938,,None,1
0,0,!râpe!,731,,None,1
1,0,!râpe!,0.9598029303616257,True,None,1
2,0,!râpe!,0.39945418293503065,False,None,1
3,0,!râpe!,!Rap!~~~~~,True,None,1
4,0,!râpe!,!râpe!,True,None,1
5,0,!râpe!,20.413952589035034,,None,1
0,0,!boueux!,1083,,None,1
1,0,!boueux!,0.9865665950477335,True,None,1
2,0,!boueux!,0.5089071994025782,False,None,1
3,0,!boueux!,!bu2!~~~~~,False,None,1
4,0,!boueux!,!boueux~,False,None,1
5,0,!boueux!,83.74177408218384,,None,1
0,0,!âge!,624,,None,1
1,0,!âge!,0.980669086721312,True,None,1
2,0,!âge!,0.7484140327860996,True,None,1
