word,freq
accusation,"5,74"
accusations,"3,11"
accuse,"19,11"
accusee,"1,75"
accusent,"1,22"
accuser,"7,03"
accusera,"0,34"
accuses,"6,15"
accusez,"0,88"
acerbe,"1,08"
acetylene,"1,96"
acharna,"1,22"
acharnai,"0,07"
acharnaient,"1,62"
acharnait,"3,24"
acharnant,"1,49"
acharne,"9,33"
acharnee,"3,45"
acharnement,"8,11"
acharnements,"0,14"
acharnent,"1,08"
acharner,"1,62"
acharnes,"2,63"
acharnez,"0,07"
achat,"10,95"
achats,"6,01"
achemina,"0,41"
acheminai,"0,14"
acheminames,"0,07"
acheminee,"0,14"
acheminer,"1,22"
acheta,"7,09"
achetai,"2,23"
achetaient,"2,16"
achetais,"1,49"
achetait,"6,22"
achetant,"1,42"
achete,"43,25"
achetee,"5,88"
achetees,"2,84"
achetent,"2,7"
acheter,"57,09"
achetera,"0,74"
acheterai,"2,3"
acheterais,"0,74"
acheterait,"1,22"
acheteras,"0,61"
achetes,"4,73"
acheteur,"2,97"
acheteurs,"2,16"
acheteuse,"0,14"
achetez,"1,22"
achetons,"0,47"
acheva,"11,69"
achevaient,"4,19"
achevait,"12,64"
achevant,"2,57"
acheve,"26,7"
achevee,"5,27"
achevement,"1,76"
achevent,"2,7"
achever,15
acheverent,"1,22"
acheveront,"0,2"
achevez,"0,07"
achevions,"0,41"
acide,"10,74"
acides,"2,37"
acier,"33,38"
aciers,"1,08"
acne,"0,81"
acolyte,"0,61"
acolytes,"1,35"
acompte,"1,01"
acoustique,"1,08"
acquerir,"7,43"
acquiert,"1,42"
acquiesca,"4,59"
acquiescait,"1,15"
acquiesce,"3,44"
acquiescement,"2,36"
acquiescer,"1,49"
acquis,"17,57"
acquise,"5,88"
acquises,"2,03"
acquisition,"2,84"
acquit,"2,3"
acquitte,"1,55"
acquitter,"1,82"
acre,"10,14"
acres,"1,35"
acrobate,"2,57"
acrobates,"1,55"
acrobaties,"1,76"
acte,"35,88"
actes,"21,42"
acteur,"15,47"
acteurs,"12,3"
actif,"5,07"
actifs,"1,35"
action,"72,91"
actionnaire,"0,27"
actionnaires,"0,47"
actionne,"0,74"
actionner,"1,22"
actions,"14,53"
activait,"1,08"
activation,"0,07"
active,"8,79"
activement,"3,51"
activer,"1,35"
actives,"1,55"
activite,"25,81"
activites,"13,11"
actrice,"7,57"
actrices,"2,97"
actualite,"5,68"
actualites,"3,04"
actuel,"6,49"
actuelle,"8,58"
actuellement,"16,69"
actuelles,"2,64"
actuels,"2,97"
acuite,"3,18"
acupuncteur,"0,07"
adage,"0,54"
adaptation,"4,46"
adapte,"3,58"
adaptee,"1,42"
adaptees,"0,61"
adapter,"3,72"
addition,"7,36"
additions,"2,16"
adepte,"0,88"
adeptes,"1,96"
adequat,"1,82"
adequate,"1,69"
adherent,"0,21"
adherer,"1,82"
adhesion,"6,15"
adieu,"34,86"
adieux,"10,54"
adjacent,"0,14"
adjectif,"2,03"
adjectifs,"1,55"
adjoignait,"0,07"
adjoignant,"0,07"
adjoignit,"0,07"
adjoindre,"0,68"
adjoint,"7,16"
adjoints,"1,63"
adjudant,"21,15"
adjuge,"0,34"
adjurerait,"0,07"
admet,"3,45"
admets,"3,92"
admettaient,"1,01"
admettait,"3,78"
admettant,"3,31"
admettez,"0,47"
admettons,"2,7"
admettre,"19,73"
administrateur,"3,78"
administratif,"3,17"
administratifs,"1,76"
administration,"23,85"
administrations,"2,57"
administrative,"4,33"
administratives,"2,23"
administre,"1,36"
administree,"1,83"
administrer,"2,84"
admira,"3,04"
admirable,"23,92"
admirablement,"4,73"
admirables,"7,64"
admiraient,"1,82"
admirais,"6,35"
admirait,"11,49"
admirant,"1,82"
admirateur,"1,48"
admirateurs,"2,98"
admiratif,"2,57"
admiratifs,"1,49"
admiration,"32,3"
admirative,"2,3"
admire,"17,5"
admiree,"1,15"
admirent,"1,02"
admirer,"17,64"
admirez,"1,42"
admis,"13,04"
admise,"2,44"
admission,"1,82"
admit,"2,84"
ado,"0,2"
adolescence,"13,72"
adolescent,"12,9"
adolescente,"9,87"
adolescentes,"2,16"
adolescents,"7,7"
adonner,"1,08"
adopta,"1,49"
adoptait,"1,89"
adopte,"10,67"
adoptee,"2,98"
adopter,"9,19"
adoptif,"1,96"
adoption,"2,84"
adoptions,"0,27"
adoptive,"1,15"
adorable,"6,28"
adorables,"1,69"
adoraient,"2,09"
adorais,"2,3"
adorait,"9,46"
adorante,"0,07"
adorants,"0,07"
adorateurs,"1,42"
adoration,"4,86"
adore,"19,87"
adoree,"1,82"
adorent,"2,91"
adorer,"3,31"
adorerais,"0,07"
adorerait,"0,07"
adores,"0,27"
adorez,"0,14"
adorons,"0,54"
adossa,"2,23"
adosse,"6,56"
adossee,"2,78"
adossees,"0,34"
adosser,"1,35"
adosses,"1,63"
adouci,"1,28"
adoucie,"1,08"
adoucir,"3,58"
adoucissait,"1,35"
adoucit,"2,09"
adrenaline,"0,68"
adressa,"11,15"
adressai,"2,57"
adressaient,"3,04"
adressais,"1,49"
adressait,"14,12"
adressames,"0,14"
adressant,"9,39"
adresse,"67,7"
adressee,"5,2"
adressees,"2,09"
adressent,"1,55"
adresser,"17,91"
adresses,"6,15"
adressez,"0,47"
adroit,"3,51"
adroitement,"1,96"
adulation,"0,61"
adulee,"0,47"
adules,"0,34"
adulte,"18,59"
adultere,"4,26"
adultes,"20,07"
advenait,"0,74"
advenir,"1,15"
advenu,"1,62"
advenues,"0,07"
adversaire,"15,95"
adversaires,"9,19"
adverse,"2,5"
adverses,"1,82"
adversite,"2,09"
adviendra,"0,68"
adviendrait,"0,68"
advienne,"1,01"
advient,"1,49"
advint,"1,35"
aeration,"1,35"
aeree,"1,02"
aerer,"2,03"
aerien,"6,42"
aerienne,"6,49"
aeriennes,"6,15"
aeriens,"2,43"
aerobic,"0,07"
aerodrome,"3,31"
aerogare,"2,16"
aeronavale,"0,27"
aeroplane,"1,15"
aeroport,"7,91"
aeroportee,"0,07"
aeroports,"1,08"
affabilite,"1,22"
affable,"3,11"
affables,"0,68"
affabulation,"1,01"
affabule,"0,14"
affaibli,"2,71"
affaiblie,"1,22"
affaiblir,"1,35"
affaiblis,"0,95"
affaiblissait,"1,01"
affaiblissant,"0,61"
affaiblissement,"1,49"
