,word,pron,freq,len,phlen
791,absperrung,apSperuN,1.5,10,8
792,absperrungen,apSperuN@n,0.33,12,10
793,absplitterung,apsplit@ruN,0.17,13,11
795,absprache,apSprax@,3.17,9,8
796,absprachen,apSprax@n,2.67,10,9
797,absprung,apSpruN,1.0,8,7
802,absprunghafen,apSpruNhef@n,0.17,13,12
806,abstammung,apStamuN,2.5,10,8
807,abstand,apStant,36.5,7,7
808,abstande,apStand@,0.17,8,8
809,abstandes,apStand@s,0.5,9,9
810,abstands,apStants,0.67,8,8
813,abstecher,apSteC@r,1.17,9,8
817,absteigen,apStaig@n,0.17,9,9
818,absteigequartier,apStaik@kvarti@r,0.33,16,16
819,absteigequartiere,apStaik@kvartir@,0.17,17,16
821,absteigequartiers,apStaik@kvartirs,0.17,17,16
822,absteiger,apStaig@r,1.33,9,9
831,abstellgleis,apStelglais,0.5,12,11
833,abstellgleisen,apStelglaiz@n,0.17,14,13
835,abstellraum,apStelraum,1.17,11,10
839,abstellraume,apStelroym@,0.17,12,11
841,abstellung,apSteluN,0.5,10,8
843,abstempelung,apStempeluN,1.33,12,11
844,abstempelungen,apStempeluN@n,0.17,14,13
845,abstich,apstiC,0.5,7,6
850,abstieg,apStik,5.5,7,6
860,abstimmung,apStimuN,24.17,10,8
861,abstimmungen,apStimuN@n,4.67,12,10
862,abstimmungsergebnis,apStimuNse@rgepnis,0.67,19,18
866,abstinent,apStinent,0.17,9,9
868,abstinenz,apstinents,0.83,9,10
869,abstinenzler,apstinentsl@r,0.33,12,13
877,abstoss,apstos,2.0,7,6
880,abstossung,apStosuN,0.17,10,8
885,abstraktion,apstraktsjon,6.0,11,12
886,abstraktionen,apstraktsjon@n,3.83,13,14
889,abstraktum,apstraktum,0.83,10,10
890,abstraktums,apstraktums,0.17,11,11
894,abstrich,apStriC,0.17,8,7
895,abstriche,apStriC@,2.0,9,8
896,abstrichen,apStriC@n,0.5,10,9
899,abstufung,apStufuN,0.5,9,8
900,abstufungen,apStufuN@n,1.5,11,10
902,absturz,apStu@rts,5.83,7,9
904,absturzes,apsturts@s,0.83,9,10
905,abstande,apStend@,1.33,8,8
906,abstanden,apStend@n,7.5,9,9
909,absturze,apSty@rts@,0.83,8,10
910,absturzen,apSty@rts@n,0.17,9,11
911,absurditat,apzu@rsditet,1.33,10,12
912,absurditaten,apzu@rsditet@n,0.5,12,14
917,abszisse,apstsis@,0.17,8,8
921,absatze,apzets@,2.33,7,7
922,absatzen,apzets@n,1.5,8,8
923,abt,apt,9.17,3,3
936,abtei,aptai,3.67,5,5
937,abteien,aptai@n,0.33,7,7
938,abteil,aptail,2.33,6,6
939,abteile,aptail@,1.0,7,7
940,abteilen,aptail@n,0.17,8,8
943,abteilung,aptailuN,59.5,9,8
944,abteilungen,aptailuN@n,23.0,11,10
945,abteilungsleiter,aptailuNslait@r,10.0,16,15
946,abteilungsleitern,aptailuNslait@rn,0.17,17,16
947,abteilungsleiters,aptailuNslait@rs,0.5,17,16
948,abtes,apt@s,1.5,5,5
953,abtragung,aptraguN,2.83,9,8
955,abtransport,aptranspo@rts,2.67,11,13
960,abtreibung,aptraibuN,3.17,10,9
961,abtreibungen,aptraibuN@n,1.0,12,11
962,abtrennung,aptrenuN,1.0,10,8
967,abtretung,aptretuN,1.0,9,8
969,abtrieb,aptrip,0.17,7,6
979,abtonung,apt2nuN,0.33,8,7
981,abtotung,apt2tuN,0.17,8,7
982,abtotungen,apt2tuN@n,0.17,10,9
984,aburteilung,abu@rt@ailuN,1.0,11,12
986,abwahl,apval,1.5,6,5
989,abwanderung,apvand@ruN,2.5,11,10
991,abwandlung,apvandluN,0.83,10,9
992,abwandlungen,apvantluN@n,2.33,12,11
995,abwarten,apvart@n,0.5,8,8
1004,abwasser,apvas@r,1.17,8,7
1008,abwechslung,apveksluN,2.0,11,9
1010,abweg,apvek,0.17,5,5
1011,abwege,apveg@,0.17,6,6
1012,abwegen,apveg@n,0.67,7,7
1017,abwehr,apve@r,26.67,6,6
1022,abwehrkampf,apve@rkampf,0.33,11,11
1024,abwehrkampfes,apverkampf@s,0.17,13,12
1026,abwehrkampfe,apve@rkempf@,0.5,12,12
1028,abweichung,apvaiCuN,2.5,10,8
1029,abweichungen,apvaiCuN@n,6.17,12,10
1033,abweisung,apvaizuN,0.67,9,8
1035,abwendung,apvenduN,1.83,9,8
1037,abwerbung,apv@rbuN,0.17,9,8
1038,abwerbungen,apv@rbuN@n,0.17,11,10
1039,abwertung,apv@rtuN,7.67,9,8
1040,abwertungen,apv@rtuN@n,0.67,11,10
1041,abwesende,apvez@nd@,0.17,9,9
1043,abwesenden,apvez@nd@n,0.33,10,10
1046,abwesenheit,apvez@nhait,9.67,11,11
1048,abwicklung,apvikluN,6.67,10,8
1055,abwurf,apv9@rff,2.33,6,8
1058,abwurfs,apv9@rffs,0.17,7,9
1059,abwagung,apveguN,0.83,8,7
1061,abwarme,apv@rm@,0.33,7,7
1062,abwasser,apves@r,1.83,8,7
1063,abwassern,apves@rn,0.67,9,8
