word,ortho,pron,freq,
a-van-cer,avancer,a-v@-se,195.0,
o-re-ille,oreille,o-Re-j°,194.12,
e-ffet,effet,e-fe,192.36,
mal-gré,malgré,mal-gRe,191.55,
tou-cher,toucher,tu-Se,190.27,
au-ssi-tot,aussitot,o-si-to,189.93,
pie-rre,pierre,pje-R°,189.86,
i-ma-ge,image,i-ma-Z°,188.92,
ren-con-trer,rencontrer,R@-k&-tRe,188.51,
cha-cun,chacun,Sa-k5,187.84,
peau,peau,po,187.77,
jar-din,jardin,ZaR-d5,185.81,
la-que-lle,laquelle,la-ke-l°,185.27,
chien,chien,Sj5,184.59,
per-me-ttre,permettre,peR-me-tR°,184.19,
ty-pe,type,ti-p°,184.19,
mou-ve-ment,mouvement,mu-v°-m@,182.97,
cer-tain,certain,seR-t5,182.64,
ba-ttre,battre,ba-tR°,182.36,
ca-cher,cacher,ka-Se,181.89,
ga-gner,gagner,ga-Ne,180.88,
vos,vos,vo,180.27,
par-tout,partout,paR-tu,179.39,
jour-née,journée,ZuR-ne,179.39,
che-val,cheval,S°-val,179.26,
pa-ro-le,parole,pa-Ro-l°,178.31,
ce-sser,cesser,se-se,177.77,
en-vo-yer,envoyer,@-vwa-je,177.64,
nez,nez,ne,177.64,
ca-fé,café,ka-fe,177.3,
cours,cours,kuR,176.76,
for-me,forme,foR-m°,176.69,
eh,eh,e,176.62,
va-loir,valoir,va-lwaR,175.74,
sac,sac,sak,174.26,
jeu,jeu,Z2,173.31,
im-por-ter,importer,5-poR-te,173.11,
nou-ve-lle,nouvelle,nu-ve-l°,172.5,
par-mi,parmi,paR-mi,171.96,
em-pê-cher,empêcher,@-pe-Se,171.28,
tu-er,tuer,ty-e,171.15,
bien-tot,bientot,bj5-to,169.59,
en-sui-te,ensuite,@-s8i-t°,169.19,
res-te,reste,Res-t°,168.58,
te-lle-ment,tellement,te-l°-m@,168.51,
fra-pper,frapper,fRa-pe,168.31,
li-bre,libre,li-bR°,167.91,
fleur,fleur,fl2R,164.39,
rou-ler,rouler,Ru-le,163.45,
pleu-rer,pleurer,pl2-Re,163.31,
bo-nheur,bonheur,bo-n2R,162.36,
li-gne,ligne,li-N°,162.3,
ins-ta-ller,installer,5s-ta-le,162.23,
si-gne,signe,si-N°,161.28,
soeur,soeur,s2R,161.01,
re-mon-ter,remonter,R°-m&-te,160.14,
su-ffi-re,suffire,sy-fi-R°,159.39,
a-ppor-ter,apporter,a-poR-te,159.32,
a-ppa-raî-tre,apparaître,a-pa-Re-tR°,159.26,
front,front,fR&,159.12,
ho-tel,hotel,o-tel,158.92,
de-bout,debout,d°-bu,158.85,
ai-der,aider,e-de,158.65,
re-tour,retour,R°-tuR,158.65,
gen-re,genre,Z@-R°,157.91,
ma-niè-re,manière,ma-nje-R°,157.77,
re-ssem-bler,ressembler,R°-s@-ble,157.5,
sen-ti-ment,sentiment,s@-ti-m@,157.3,
bou-ger,bouger,bu-Ze,156.76,
clair,clair,kleR,156.69,
len-te-ment,lentement,l@-t°-m@,156.55,
par-ve-nir,parvenir,paR-v°-niR,156.42,
six,six,sis,156.22,
pen-cher,pencher,p@-Se,155.88,
o-ser,oser,o-ze,155.54,
cri,cri,kRi,155.41,
im-pre-ssion,impression,5-pRe-sj&,155.27,
vingt,vingt,v5,154.59,
