item,ntrials,err,rt,sd,rtz,nused
sailliranter,24,0.083333333333333,867.3,240.113153150321,0.501410803250649,20
ailtentre,25,0,830.625,211.201904738611,0.100007860080875,24
boutomphiai,20,0.05,678.157894736842,198.957913795828,-0.453868522264453,19
ellent,25,0.08,930.04347826087,391.470244806895,0.362032770955371,23
touprécome,23,0,738.695652173913,130.990435036862,-0.38100881862891,23
préfenve,23,0.130434782608696,838.894736842105,198.054115707142,0.22690940887236,19
siègrettre,22,0.045454545454545,914.380952380952,213.813581465368,0.353198392437343,21
quittosard,22,0.045454545454545,750.571428571429,200.080626605519,-0.32744184417949,21
choquelte,25,0.04,863.375,239.880189750597,0.431058022801208,24
chorieur,22,0,835.095238095238,190.058387018807,0.23187749573563,21
éterve,24,0.083333333333333,761.409090909091,172.557142803384,0.001691473353614,22
intaulons,23,0.043478260869565,746.363636363636,229.133262421788,-0.174048527625201,22
agina,23,0.086956521739131,782.666666666667,189.467763309048,-0.12712482721113,21
cascoufants,23,0.043478260869565,851.545454545455,220.946174715047,0.15202578406141,22
trouconvrit,22,0,750.727272727273,188.511760860388,-0.37321764728104,22
apage,22,0.090909090909091,775.55,251.777988043351,-0.185094252059614,20
lâtroutidideur,19,0.052631578947369,818.111111111111,236.672990802,0.07773731789818,18
cerson,21,0,661.666666666667,126.389213674796,-0.621645283541239,21
dormantres,25,0.04,986.04347826087,319.185252316649,0.819744389994153,23
channorcle,25,0,817.84,257.525189706431,0.024619762261911,25
faimoutes,20,0,697.05,118.963273855068,-0.455413672049623,20
vinommélent,24,0,897.478260869565,237.558197571041,0.398244334392377,23
provouche,23,0.043478260869565,798.636363636364,240.333606522772,-0.06431905012199,22
sercamengeait,24,0.041666666666667,821.565217391304,241.413606999002,0.253795295256791,23
gliscoquer,24,0.125,833.333333333333,207.295521739697,0.269821564139449,21
vivedée,23,0,829.260869565217,204.869407936618,-0.124059844556051,23
acrule,24,0.041666666666667,745.304347826087,215.063507487822,-0.212855514484018,23
notécolaient,24,0.083333333333333,982.90909090909,375.881175384799,0.729678226322793,22
jaméla,21,0,715.666666666667,144.274853433761,-0.460145485045582,21
atiches,21,0.047619047619048,726.35,162.448137472921,-0.119452776970816,20
tiste,24,0.25,782.888888888889,127.630850451323,0.188277445088599,18
sembinir,21,0,785.190476190476,196.250508036952,-0.087121313402184,21
decounais,21,0,761.857142857143,124.335548301476,0.008028093244282,21
pluler,23,0,803.565217391304,182.67428193545,0.081580160495102,23
sourtites,21,0,827.190476190476,242.769565441721,0.297410176526257,21
derinerse,20,0,761.6,181.59480632499,-0.228506799246937,20
ioche,24,0.041666666666667,724.739130434783,182.310229452014,-0.61457233958261,23
perrése,20,0.05,765.315789473684,253.895002933535,0.07918602100338,19
chernébanques,21,0,847.4,225.865213649296,0.111501517942574,20
fersentroune,21,0,807.428571428571,256.216426372036,-0.155677078581548,21
saureux,25,0,747.52,116.15403565955,-0.185102831346979,25
fainté,21,0.19047619047619,732.5,161.629617747903,-0.2596493432104,16
implésaient,24,0.041666666666667,871.636363636364,253.629002670576,0.440838600794162,22
faibaplaper,22,0,830.681818181818,233.30511115656,-0.041753963160915,22
atraner,22,0,767.409090909091,184.372980948663,-0.275857123079988,22
faillévait,23,0.043478260869565,882.545454545455,249.561849815065,0.702396186670113,22
haitrancomneau,22,0,754.904761904762,197.857753136415,-0.172142919977307,21
étisait,19,0.157894736842105,849.3125,211.754171544899,0.466341022605473,16
fornait,23,0.173913043478261,899.631578947368,258.260895333536,0.470371999814684,19
fostiaine,22,0,769.272727272727,282.57779069171,-0.184001782965204,22
fanévoir,24,0,742.958333333333,153.28560418146,-0.325605961185876,24
atrivetara,21,0,817.5,240.835716008368,0.225617768413228,20
preluaient,23,0.086956521739131,855.45,270.240531262137,0.503812493445467,20
goupe,24,0.416666666666667,816.5,128.250805965379,0.390399394814355,14
enleriansant,24,0,824.739130434783,180.230715117975,0.117494431904556,23
douclairent,21,0.19047619047619,1004.23529411765,344.04442471354,0.917375325296926,17
mamatitaient,22,0,932.409090909091,240.537623844688,0.93366591623632,22
falime,21,0,792.952380952381,204.963527533675,-0.050479883130941,21
autétant,21,0,854.809523809524,273.8893241891,0.147843703367915,21
durmier,23,0.043478260869565,744.952380952381,234.401040140712,-0.233279380893534,21
rejoulaient,23,0.304347826086957,1051.93333333333,261.258620272455,1.6528502554995,15
delentre,23,0,756,188.880914864366,-0.093988981271535,22
betoque,21,0,770,247.675998029684,-0.164743677208843,21
rulé,25,0.12,768.181818181818,145.321527380999,-0.084805586049859,22
renchée,19,0,892.421052631579,339.696975387947,0.486283025372906,19
fasontaient,22,0.045454545454545,814.526315789474,182.806323869782,0.463968066296525,19
josé,20,0.5,808.2,210.063905620277,0.687640476047365,10
frischene,24,0,769.166666666667,215.941148719147,-0.322929037452369,24
estisièce,23,0,723.318181818182,159.498435986849,-0.293400811171746,22
cercunie,25,0,784.64,205.255507437275,-0.223925191552957,25
jos,24,0,673.333333333333,99.6130193458084,-0.537773773641329,24
ucher,24,0,637.826086956522,116.372697584455,-0.646076572583316,23
jacumense,23,0,770.434782608696,155.203041818527,-0.073772076955562,23
chlouenne,21,0.047619047619048,717.65,160.452739393715,-0.309207511057806,20
corichers,23,0.086956521739131,815.047619047619,253.351825766162,-0.028510739948431,21
renquaient,20,0.1,879.166666666667,193.332158549507,0.446979457714846,18
archardes,23,0,824.181818181818,248.760859799056,0.113706883840525,22
sourdex,22,0,784.772727272727,188.554888261869,0.017654404179709,22
esserme,26,0.076923076923077,675.5,173.008670302965,-0.69551248259304,24
queltiles,22,0,761.952380952381,261.748825439671,-0.249994250565944,21
bébormes,21,0,737,190.988839574739,-0.093874747749568,20
vegné,21,0.095238095238095,704.78947368421,151.364012656527,-0.309174504371433,19
gésate,24,0,670.958333333333,110.485678460729,-0.70947824231599,24
cettrai,24,0,800.625,249.472279979682,0.081804413520855,24
soutrémait,24,0.041666666666667,876.95652173913,221.835827555767,0.305603477391372,23
selémise,24,0.041666666666667,711.434782608696,152.61890329926,-0.48148764674495,23
tigures,21,0,738.904761904762,169.851083235258,-0.383744841771658,21
détutente,21,0.238095238095238,927.9375,261.60643945948,0.563930039062997,16
ivailsiettre,21,0,731.714285714286,171.508933544916,-0.350165522791951,21
aricher,23,0.086956521739131,786.666666666667,165.961541729804,0.105035213493599,21
parprenquez,25,0.04,831.086956521739,255.201865382802,0.116625697456053,23
carvérileurs,21,0,871.3,211.607407093519,0.278217079645691,20
doubrait,19,0,941.21052631579,348.168953071696,0.478122312913059,19
léracord,21,0,802.380952380952,259.195577931121,-0.071303409910808,21
apotes,23,0,760.04347826087,192.77765766925,0.064822866277218,23
évertobler,23,0.043478260869565,819.954545454545,273.464105291932,-0.121342454690921,22
chalt,23,0.043478260869565,752.318181818182,230.965754287686,-0.44173570019718,22
ailmé,22,0.045454545454545,876.904761904762,298.124790106745,0.159235392915696,21
sifusant,21,0.047619047619048,803.1,171.388724065623,0.214893880125145,20
tivoser,23,0,658.869565217391,97.9866894243694,-0.38899342533933,23
tourieur,21,0,815.619047619048,135.271385071077,0.080697438522141,21
genfiloigard,25,0,708.2,154.202248146171,-0.363770035967285,25
aserlent,22,0.045454545454545,761.428571428571,281.354859817379,-0.25463071976522,21
aleçon,22,0.090909090909091,749.25,167.567700379656,-0.272961341469153,20
vicigitit,24,0,654.958333333333,97.1952222688135,-0.654990923478096,24
nosparts,23,0,737.652173913043,300.117796372699,-0.437547365031698,23
jalantains,21,0.047619047619048,810.65,254.121039332793,-0.06122102722927,20
baimute,22,0.045454545454545,737.285714285714,222.494526417425,-0.271947135414711,21
acéraient,24,0.416666666666667,900.769230769231,247.917040508229,0.552550616049768,13
droué,22,0.090909090909091,797.65,217.346987919996,0.087123315578793,20
replaire,22,0.5,889,213.122969198536,1.18007156026401,11
luthétiboune,23,0,835.652173913043,282.317778510743,0.042717382224468,23
chaniles,22,0.045454545454545,700.952380952381,123.413320265876,-0.330789559272967,21
artelo,25,0,745.6,280.346660404578,-0.348061443691622,25
renilople,21,0,713.52380952381,206.140393675674,-0.388650841369579,21
maintion,23,0.086956521739131,931.809523809524,257.218121260462,0.637274131734037,21
almerson,22,0,722.095238095238,117.581420624989,-0.462201823212864,21
soucoubére,22,0.136363636363636,905.473684210526,229.352074917594,0.454851197036524,19
hime,20,0.15,749.705882352941,185.7551361019,-0.355653990259788,17
serperseurs,25,0.12,1007.63636363636,368.608263537393,0.719234488923027,22
entetits,26,0.038461538461538,849.36,360.203979248795,0.232298464822741,25
